outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
GCST90012069	vascular endothelial growth factor D levels	5	EFO_0010575	GWAS Catalog
GCST90012071	Spondin-1 levels	5	EFO_0008290	GWAS Catalog
GCST90012074	CX3CL1 levels	5	EFO_0009419	GWAS Catalog
GCST90019380	Scavenger receptor class A member 5 measurement	5	EFO_0007937	GWAS Catalog
GCST90019402	Monocyte differentiation antigen CD14, soluble measurement	5	EFO_0007937	GWAS Catalog
GCST90019408	Catechol O-methyltransferase measurement	5	EFO_0007937	GWAS Catalog
GCST90019463	Coagulation factor XIII B chain measurement	5	EFO_0004634	GWAS Catalog
GCST90019483	Vesicular integral-membrane protein VIP36 measurement	5	EFO_0007937	GWAS Catalog
NEALE2_1289	Cooked vegetable intake	5	EFO_0008111	UK Biobank
NEALE2_1538_1	Yes, because of illness | major dietary changes in the last 5 years	5	EFO_0008111	UK Biobank
NEALE2_24019_raw	Particulate matter air pollution (pm10); 2007	5	EFO_0008255	UK Biobank
NEALE2_2764_raw	Age at last live birth	5	EFO_0009440	UK Biobank
NEALE2_5108_raw	3mm asymmetry angle (right)	5	EFO_0007814	UK Biobank
NEALE2_5118_raw	6mm cylindrical power (left)	5	EFO_0007814	UK Biobank
NEALE2_5157_raw	6mm asymmetry index (left)	5	EFO_0007814	UK Biobank
NEALE2_6033_raw	Maximum heart rate during fitness test	5	EFO_0009184	UK Biobank
NEALE2_1060	Time spent outdoors in winter	5	NA	UK Biobank
NEALE2_20552_1	Something else not mentioned | behavioural and miscellaneous addictions	5	NA	UK Biobank
